1360,317	1366,364	1249,376	1255,326
1044,350	1013,390	919,317	956,284
488,989	438,982	453,864	501,884
1175,729	1221,750	1170,860	1131,831
127,673	108,630	215,580	226,627
1541,687	1542,735	1424,738	1434,687
695,501	651,529	585,430	632,412
1306,739	1288,695	1399,651	1407,701
425,191	440,237	328,276	322,226
795,620	823,660	727,729	708,683
634,160	684,160	681,280	632,269
586,863	621,895	543,983	513,942
1059,795	1085,834	989,903	969,857
195,864	174,909	66,857	95,817
989,735	977,782	858,756	880,713
942,246	923,203	1030,153	1041,200
1198,192	1180,238	1071,193	1099,152
1232,989	1214,1035	1105,990	1133,949
1432,314	1383,311	1391,191	1440,206
926,1103	882,1125	832,1017	880,1005
65,783	88,743	195,802	161,838
328,326	308,371	200,323	229,280
742,456	780,484	715,580	681,542
1503,385	1550,392	1531,510	1486,491
1070,471	1060,520	944,498	965,451
295,1051	280,1098	164,1059	190,1015
192,924	198,877	316,890	298,936
1372,144	1328,172	1262,73	1309,55
191,53	207,100	96,140	90,90
599,759	556,783	492,681	539,664
474,65	512,93	447,189	413,151
1473,345	1470,295	1589,292	1580,341
743,255	792,244	822,360	772,361
417,554	463,540	497,653	447,656
395,714	350,730	306,619	356,612
1642,1165	1593,1162	1601,1042	1650,1057
742,833	787,852	745,962	702,935
1554,891	1601,898	1582,1016	1537,997
1362,1013	1319,988	1382,884	1419,917
1214,526	1196,572	1087,527	1115,486
1233,411	1189,433	1133,327	1183,314
325,165	306,120	417,76	425,124
1462,523	1503,550	1437,649	1401,611
462,364	475,316	593,347	572,392
1502,16	1525,59	1426,118	1411,70
616,1029	666,1027	670,1144	621,1136
217,581	209,534	325,510	324,563
1403,1009	1438,1041	1360,1129	1330,1088
21,370	34,322	152,353	131,398
509,405	493,452	379,411	406,369
488,1026	509,1071	399,1123	388,1075
909,65	899,113	781,87	802,41
1218,587	1220,537	1340,540	1328,589
1054,763	1010,740	1064,633	1104,664
1665,738	1671,785	1554,797	1560,747
930,1009	976,995	1010,1108	960,1111
721,865	672,858	687,738	734,754
646,154	641,107	759,95	753,143
571,676	594,634	699,687	666,726
1425,995	1422,945	1541,942	1532,991
1043,134	1050,87	1169,106	1151,153
166,408	159,457	41,440	60,395
1200,1073	1223,1031	1328,1084	1295,1123
127,1176	77,1169	92,1051	140,1071
621,323	670,312	700,428	650,429
868,546	909,573	849,673	812,638
1678,144	1668,192	1550,166	1571,120
