166,35	314,16	379,265	230,294
166,25	312,16	358,271	210,288
297,168	312,313	59,371	35,217
220,296	72,310	16,56	169,34
234,304	91,328	16,79	164,47
170,28	314,45	319,303	169,295
95,140	176,16	411,129	333,261
38,161	63,16	321,26	304,178
83,293	16,163	230,16	307,147
160,61	302,16	408,253	265,306
17,191	21,41	280,16	283,170
222,296	73,313	16,60	167,36
294,180	272,325	16,316	28,166
165,300	16,277	25,16	178,33
302,171	321,320	71,389	43,233
103,311	16,188	210,16	304,137
168,22	315,33	333,288	180,288
303,126	409,234	245,438	131,331
283,110	400,200	266,423	140,335
298,186	275,332	16,322	32,171
315,156	370,293	146,418	80,281
312,219	271,350	16,305	51,162
112,316	16,208	189,16	293,121
298,123	402,227	241,432	128,328
168,289	26,274	16,16	167,23
16,200	16,52	269,16	281,169
18,207	16,60	273,16	283,172
22,203	16,59	270,16	285,164
27,213	16,65	272,16	290,168
38,231	16,89	263,16	295,161
101,132	188,16	412,140	331,266
96,304	16,183	211,16	302,136
133,109	247,16	435,199	320,300
131,113	246,16	438,189	325,297
71,279	16,138	247,16	309,160
76,284	16,148	238,16	308,153
292,118	398,217	248,426	131,330
298,125	398,229	237,433	126,328
326,294	225,400	16,251	114,133
263,310	123,354	16,125	154,67
103,315	16,196	200,16	299,135
144,331	16,252	124,16	261,92
307,134	393,249	207,433	111,315
323,299	218,398	16,239	120,127
315,157	362,294	135,413	75,274
305,129	401,243	227,432	121,322
24,211	16,62	273,16	287,171
78,152	142,16	386,96	330,239
22,205	16,62	273,16	286,166
30,206	16,69	270,16	293,153
310,164	350,305	112,404	62,261
115,117	210,16	418,165	327,279
235,68	370,122	305,375	163,325
277,100	400,182	282,417	150,335
143,328	16,255	112,16	249,83
178,28	335,16	381,269	223,291
119,123	220,16	430,166	331,284
154,77	288,16	420,244	284,310
58,261	16,121	255,16	305,160
214,54	355,96	316,350	168,317
165,293	18,275	16,16	171,27
307,199	275,342	16,320	42,169
74,277	16,141	242,16	302,149
20,206	16,60	270,16	284,170
165,54	312,16	406,259	257,304
22,179	32,32	291,16	288,171
155,73	287,16	422,235	287,305
302,315	173,388	16,184	146,99
292,314	161,378	16,166	149,89
99,297	16,178	215,16	302,140
105,315	16,199	199,16	298,131
114,321	16,210	185,16	294,124
300,125	397,226	232,419	124,322
112,319	16,209	187,16	292,123
263,87	394,162	294,400	157,332
287,112	404,205	268,426	143,336
87,145	156,16	399,112	332,249
110,131	200,16	421,154	334,276
173,282	28,275	16,16	162,16
314,150	380,278	168,426	91,296
93,305	16,178	222,16	307,146
299,186	277,335	16,325	33,171
75,284	16,155	232,16	303,145
166,293	17,275	16,16	170,27
313,155	365,290	137,414	75,277
116,127	215,16	432,157	334,281
269,94	395,170	288,408	155,334
313,155	376,287	157,425	84,292
290,167	293,311	39,353	26,202
329,282	239,393	16,260	105,137
316,302	206,397	16,229	121,120
80,147	144,16	391,96	331,237
67,150	118,16	369,80	324,222
240,71	379,127	309,379	165,327
35,227	16,82	265,16	294,165
68,157	120,16	372,76	326,223
91,301	16,168	225,16	309,148
169,22	320,32	333,292	179,288
24,212	16,62	274,16	288,173
27,165	41,24	298,16	293,163
135,103	252,16	432,201	317,298
141,100	263,16	436,206	316,302
57,158	100,16	357,60	319,208
299,124	407,229	249,436	133,333
97,141	174,16	412,124	336,260
161,66	300,16	417,247	276,306
73,284	16,148	238,16	306,155
75,282	16,149	235,16	305,148
44,242	16,98	259,16	298,162
164,304	16,274	36,16	191,39
218,296	69,306	16,59	169,34
39,232	16,85	264,16	297,165
94,303	16,188	203,16	298,132
106,317	16,203	195,16	298,133
91,301	16,178	219,16	304,140
161,72	301,16	429,244	284,308
94,308	16,184	211,16	301,140
86,295	16,167	225,16	305,143
166,36	310,16	381,266	231,295
170,30	318,16	376,268	223,292
165,37	312,16	375,265	229,295
107,317	16,197	201,16	303,136
92,139	170,16	406,122	332,255
327,302	217,405	16,243	124,130
307,134	398,247	214,434	115,320
93,304	16,181	214,16	303,139
290,172	274,318	16,324	23,172
200,288	51,290	16,30	172,23
208,295	62,305	16,52	163,32
211,295	64,306	16,53	165,33
189,282	40,277	16,20	170,16
288,316	148,374	16,155	156,83
55,258	16,114	257,16	304,163
258,309	116,347	16,113	159,62
54,259	16,112	253,16	303,165
117,114	219,16	423,173	323,285
298,124	404,229	244,432	130,330
302,128	399,239	232,433	123,326
144,92	263,16	430,211	309,301
20,204	16,60	272,16	285,167
171,28	316,16	361,270	215,291
34,227	16,80	267,16	294,167
161,59	300,16	407,254	264,305
329,264	254,387	16,286	88,151
218,58	357,102	311,358	164,319
218,58	354,103	305,356	162,319
166,16	310,17	349,267	199,281
172,28	315,16	368,272	216,290
16,185	20,41	277,16	282,168
168,42	316,16	395,264	242,298
18,188	20,39	279,16	283,166
225,65	363,112	306,366	164,324
68,156	119,16	374,75	326,223
185,36	331,60	324,317	172,303
110,131	202,16	424,155	333,277
170,20	315,25	340,288	185,286
171,28	319,42	327,299	174,294
309,207	274,351	16,324	45,172
266,313	124,356	16,122	162,67
284,107	405,199	274,420	146,335
313,141	401,261	204,436	112,316
152,76	285,16	416,239	285,308
287,172	290,321	30,355	22,201
69,272	16,133	254,16	310,158
171,23	318,34	334,289	181,289
113,128	212,16	426,156	332,279
109,130	201,16	423,148	334,273
221,297	77,311	16,60	167,36
328,290	230,396	16,253	111,134
324,293	224,400	16,247	112,132
54,161	94,16	345,51	317,203
60,159	104,16	363,65	321,214
142,97	268,16	430,214	309,305
186,36	335,59	323,317	169,302
199,48	336,81	309,341	163,312
297,182	274,327	16,324	30,170
287,166	276,312	16,321	21,172
