36,110	16,58	142,16	148,67
40,114	16,64	141,16	150,65
38,110	16,59	143,16	149,66
45,126	16,78	132,16	147,66
44,123	16,75	136,16	148,65
133,64	153,117	27,155	22,104
114,135	60,156	16,28	71,22
133,60	159,108	37,162	27,111
117,43	167,75	87,182	51,144
64,24	121,16	132,149	82,142
122,47	168,83	78,181	47,139
119,44	167,75	84,181	51,142
58,49	98,16	173,127	129,143
23,72	32,16	162,45	142,91
46,128	16,76	136,16	150,66
63,29	118,16	143,145	93,145
21,78	16,23	148,16	139,66
155,74	152,131	16,114	34,65
68,16	129,17	117,152	66,138
83,23	139,32	105,162	62,142
158,89	146,146	16,108	41,61
115,42	163,72	89,182	54,144
121,47	166,80	80,180	50,140
156,103	136,153	16,97	48,55
41,64	65,16	179,82	144,119
143,67	147,121	16,123	25,72
19,68	16,16	148,16	136,67
94,30	148,46	102,171	60,144
132,57	165,103	54,173	36,127
58,148	16,107	117,16	144,59
150,66	149,123	16,111	30,63
40,69	68,16	182,85	145,123
30,74	43,16	174,58	147,104
154,80	147,135	16,109	36,61
75,153	16,148	35,16	84,34
73,158	16,142	60,16	105,41
73,157	16,143	59,16	104,42
74,159	16,152	40,16	88,36
137,65	150,123	16,143	19,89
108,133	55,153	16,27	69,24
16,73	16,16	151,24	138,71
121,137	68,163	16,39	70,27
27,87	16,33	146,16	142,65
133,54	169,99	57,176	39,130
64,33	117,16	151,143	97,146
132,60	158,106	41,162	29,116
67,19	124,16	122,149	71,137
118,45	163,77	82,180	48,140
118,43	168,75	85,182	52,144
115,43	165,74	83,180	50,142
158,100	142,155	16,106	44,63
33,73	52,16	178,69	149,112
70,158	16,134	78,16	120,48
160,109	135,163	16,98	52,55
129,136	76,166	16,45	68,31
160,87	147,141	16,104	39,60
137,62	160,115	34,164	25,112
135,63	154,116	26,151	21,103
131,60	160,108	44,167	30,119
156,112	128,164	16,93	51,54
140,65	150,122	16,142	19,90
68,159	16,130	85,16	125,52
70,152	16,145	38,16	86,34
133,64	149,117	21,147	19,99
138,65	149,119	16,136	21,86
144,65	151,122	16,127	25,76
138,63	163,116	35,164	27,115
126,50	167,87	75,181	47,138
131,133	84,164	16,50	65,35
108,37	158,62	94,179	56,146
134,56	166,101	54,172	37,123
100,32	153,53	103,175	59,145
60,150	16,111	112,16	142,61
75,157	16,150	40,16	90,37
17,74	18,16	153,25	138,76
74,154	16,146	41,16	90,36
96,135	39,148	16,16	66,18
155,110	131,157	16,94	50,56
157,81	149,140	16,110	37,62
156,107	133,159	16,100	48,58
158,109	134,162	16,97	52,55
79,23	136,29	112,160	64,140
106,37	161,61	98,180	56,147
65,159	16,128	93,16	129,53
117,136	66,161	16,36	67,28
123,136	71,163	16,42	68,29
133,137	82,167	16,48	68,32
128,132	82,163	16,48	65,34
40,66	68,16	182,93	146,127
63,32	116,16	145,144	96,146
66,29	122,16	147,146	94,147
131,54	170,96	64,179	41,133
154,122	117,169	16,82	58,49
68,18	122,18	112,150	67,136
147,66	149,122	16,117	27,66
23,69	28,16	159,37	141,82
32,68	49,16	176,70	145,109
42,65	72,16	184,94	147,128
104,34	157,55	99,178	57,146
154,86	145,142	16,108	38,63
159,100	139,157	16,104	46,58
156,83	146,139	16,111	39,63
62,149	16,113	108,16	138,57
70,158	16,140	66,16	107,44
148,125	111,166	16,79	58,48
159,97	140,153	16,102	45,58
110,37	164,62	96,178	58,146
154,105	135,158	16,99	47,58
68,156	16,123	97,16	134,55
115,136	65,158	16,33	69,26
76,154	16,153	27,16	78,34
148,130	105,169	16,70	60,43
154,119	122,168	16,85	54,54
19,73	16,16	151,20	140,70
74,153	16,146	40,16	90,37
26,84	16,27	151,16	147,68
65,159	16,126	97,16	132,57
155,117	125,164	16,91	54,54
127,136	77,166	16,47	69,31
159,104	137,156	16,100	48,58
72,158	16,147	47,16	93,37
19,72	23,16	157,33	141,80
123,138	70,167	16,39	70,29
159,105	137,159	16,99	49,59
161,88	148,147	16,107	43,61
73,157	16,149	47,16	94,38
63,152	16,125	89,16	122,50
134,134	89,168	16,56	65,37
