183,52	331,33	396,282	247,311
183,42	329,33	375,288	227,305
314,185	329,330	76,388	52,234
237,313	89,327	33,73	186,51
251,321	108,345	33,96	181,64
187,45	331,62	336,320	186,312
112,157	193,33	428,146	350,278
55,178	80,33	338,43	321,195
100,310	33,180	247,33	324,164
177,78	319,33	425,270	282,323
34,208	38,58	297,33	300,187
239,313	90,330	33,77	184,53
311,197	289,342	33,333	45,183
182,317	33,294	42,33	195,50
319,188	338,337	88,406	60,250
120,328	33,205	227,33	321,154
185,39	332,50	350,305	197,305
320,143	426,251	262,455	148,348
300,127	417,217	283,440	157,352
315,203	292,349	33,339	49,188
332,173	387,310	163,435	97,298
329,236	288,367	33,322	68,179
129,333	33,225	206,33	310,138
315,140	419,244	258,449	145,345
185,306	43,291	33,33	184,40
33,217	33,69	286,33	298,186
35,224	33,77	290,33	300,189
39,220	33,76	287,33	302,181
44,230	33,82	289,33	307,185
55,248	33,106	280,33	312,178
118,149	205,33	429,157	348,283
113,321	33,200	228,33	319,153
150,126	264,33	452,216	337,317
148,130	263,33	455,206	342,314
88,296	33,155	264,33	326,177
93,301	33,165	255,33	325,170
309,135	415,234	265,443	148,347
315,142	415,246	254,450	143,345
343,311	242,417	33,268	131,150
280,327	140,371	33,142	171,84
120,332	33,213	217,33	316,152
161,348	33,269	141,33	278,109
324,151	410,266	224,450	128,332
340,316	235,415	33,256	137,144
332,174	379,311	152,430	92,291
322,146	418,260	244,449	138,339
41,228	33,79	290,33	304,188
95,169	159,33	403,113	347,256
39,222	33,79	290,33	303,183
47,223	33,86	287,33	310,170
327,181	367,322	129,421	79,278
132,134	227,33	435,182	344,296
252,85	387,139	322,392	180,342
294,117	417,199	299,434	167,352
160,345	33,272	129,33	266,100
195,45	352,33	398,286	240,308
136,140	237,33	447,183	348,301
171,94	305,33	437,261	301,327
75,278	33,138	272,33	322,177
231,71	372,113	333,367	185,334
182,310	35,292	33,33	188,44
324,216	292,359	33,337	59,186
91,294	33,158	259,33	319,166
37,223	33,77	287,33	301,187
182,71	329,33	423,276	274,321
39,196	49,49	308,33	305,188
172,90	304,33	439,252	304,322
319,332	190,405	33,201	163,116
309,331	178,395	33,183	166,106
116,314	33,195	232,33	319,157
122,332	33,216	216,33	315,148
131,338	33,227	202,33	311,141
317,142	414,243	249,436	141,339
129,336	33,226	204,33	309,140
280,104	411,179	311,417	174,349
304,129	421,222	285,443	160,353
104,162	173,33	416,129	349,266
127,148	217,33	438,171	351,293
190,299	45,292	33,33	179,33
331,167	397,295	185,443	108,313
110,322	33,195	239,33	324,163
316,203	294,352	33,342	50,188
92,301	33,172	249,33	320,162
183,310	34,292	33,33	187,44
330,172	382,307	154,431	92,294
133,144	232,33	449,174	351,298
286,111	412,187	305,425	172,351
330,172	393,304	174,442	101,309
307,184	310,328	56,370	43,219
346,299	256,410	33,277	122,154
333,319	223,414	33,246	138,137
97,164	161,33	408,113	348,254
84,167	135,33	386,97	341,239
257,88	396,144	326,396	182,344
